abandon;abandon,abandons,abandoning,abandoned
seek;seek,seeks,seeking,sought
seem;seem,seems,seeming,seemed
seize;seize,seizes,seizing,seized
select;select,selects,selecting,selected
sell;sell,sells,selling,sold
send;send,sends,sending,sent
sense;sense,senses,sensing,sensed
sentence;sentence,sentences,sentencing,sentenced
separate;separate,separates,separating,separated
serve;serve,serves,serving,served
set;set,sets,setting
settle;settle,settles,settling,settled
shake;shake,shakes,shaking,shook,shaken
shape;shape,shapes,shaping,shaped
share;share,shares,sharing,shared
shed;shed,sheds,shedding
shift;shift,shifts,shifting,shifted
shine;shine,shines,shining,shone
ship;ship,ships,shipping,shipped
shiver;shiver,shivers,shivering,shivered
shoot;shoot,shoots,shooting,shot
shop;shop,shops,shopping,shopped
shout;shout,shouts,shouting,shouted
show;show,shows,showing,showed,shown
shrug;shrug,shrugs,shrugging,shrugged
shut;shut,shuts,shutting
sigh;sigh,sighs,sighing,sighed
sign;sign,signs,signing,signed
signal;signal,signals,signalling,signalled
sing;sing,sings,singing,sung
sink;sink,sinks,sinking,sunk,sunken
sit;sit,sits,sitting,sat
situate;situate,situates,situating,situated
slam;slam,slams,slamming,slammed
sleep;sleep,sleeps,sleeping,slept
slide;slide,slides,sliding,slid,slidden
slip;slip,slips,slipping,slipped
slow;slow,slows,slowing,slowed
smash;smash,smashes,smashing,smashed
smell;smell,smells,smelling,smelt,smelled
smile;smile,smiles,smiling,smiled
smoke;smoke,smokes,smoking,smoked
snap;snap,snaps,snapping,snapped
solve;solve,solves,solving,solved
sort;sort,sorts,sorting,sorted
sound;sound,sounds,sounding,sounded
spare;spare,spares,sparing,spared
speak;speak,speaks,speaking,spoke,spoken
specify;specify,specifies,specifying,specified
speed;speed,speeds,speeding,speeded
spell;spell,spells,spelling,spelt
spend;spend,spends,spending,spent
spill;spill,spills,spilling,spilt
spin;spin,spins,spinning,spun
split;split,splits,splitting
spoil;spoil,spoils,spoiling,spoilt
sponsor;sponsor,sponsors,sponsoring,sponsored
spot;spot,spots,spotting,spotted,spotcheck
spread;spread,spreads,spreading
spring;spring,springs,springing,sprung
squeeze;squeeze,squeezes,squeezing,squeezed
stage;stage,stages,staging,staged
stand;stand,stands,standing,stood
stare;stare,stares,staring,stared
start;start,starts,starting,started
state;state,states,stating,stated
stay;stay,stays,staying,stayed
steal;steal,steals,stealing,stole,stolen
stem;stem,stems,stemming,stemmed
step;step,steps,stepping,stepped
stick;stick,sticks,sticking,stuck
stimulate;stimulate,stimulates,stimulating,stimulated
stir;stir,stirs,stirring,stirred
stop;stop,stops,stopping,stopped
store;store,stores,storing,stored
strain;strain,strains,straining,strained
strengthen;strengthen,strengthens,strengthening,strengthened
stress;stress,stresses,stressing,stressed
stretch;stretch,stretches,stretching,stretched
strike;strike,strikes,striking,struck
strip;strip,strips,stripping,stripped
stroke;stroke,strokes,stroking,stroked
struggle;struggle,struggles,struggling,struggled
study;study,studies,studying,studied
subject;subject,subjects,subjecting,subjected
submit;submit,submits,submitting,submitted
substitute;substitute,substitutes,substituting,substituted
succeed;succeed,succeeds,succeeding,succeeded
suck;suck,sucks,sucking,sucked
sue;sue,sues,suing,sued
suffer;suffer,suffers,suffering,suffered
suggest;suggest,suggests,suggesting,suggested
suit;suit,suits,suiting,suited
sum;sum,sums,summing,summed
summon;summon,summons,summonning,summonned
supervise;supervise,supervises,supervising,supervised
supplement;supplement,supplements,supplementing,supplemented
supply;supply,supplies,supplying,supplied
support;support,supports,supporting,supported
suppose;suppose,supposes,supposing,supposed
suppress;suppress,suppresses,suppressing,suppressed
surprise;surprise,surprises,surprising,surprised
surround;surround,surrounds,surrounding,surrounded
survive;survive,survives,surviving,survived
suspect;suspect,suspects,suspecting,suspected
suspend;suspend,suspends,suspending,suspended
sustain;sustain,sustains,sustaining,sustained
swallow;swallow,swallows,swallowing,swallowed
swear;swear,swears,swearing,swore,sworn
sweep;sweep,sweeps,sweeping,swept
swim;swim,swims,swimming,swam,swum
swing;swing,swings,swinging,swung
switch;switch,switches,switching,switched
tackle;tackle,tackles,tackling,tackled
take;take,takes,taking,took,taken
talk;talk,talks,talking,talked
tap;tap,taps,tapping,tapped
target;target,targets,targeting,targeted
taste;taste,tastes,tasting,tasted
tax;tax,taxes,taxing,taxed
teach;teach,teaches,teaching,taught
tear;tear,tears,tearing,tore,torn
telephone;telephone,telephones,telephoning,telephoned
tell;tell,tells,telling,told
tempt;tempt,tempts,tempting,tempted
tend;tend,tends,tending,tended
term;term,terms,terming,termed
test;test,tests,testing,tested
thank;thank,thanks,thanking,thanked
think;think,thinks,thinking,thought
threaten;threaten,threatens,threatening,threatened
throw;throw,throws,throwing,threw,thrown
thrust;thrust,thrusts,thrusting
tie;tie,ties,tying,tied
tighten;tighten,tightens,tightening,tightened
time;time,times,timing,timed
tip;tip,tips,tipping,tipped
top;top,tops,topping,topped
toss;toss,tosses,tossing,tossed
touch;touch,touches,touching,touched
tour;tour,tours,touring,toured
trace;trace,traces,tracing,traced
trade;trade,trades,trading,traded
train;train,trains,training,trained
transfer;transfer,transfers,transferring,transferred
transform;transform,transforms,transforming,transformed
translate;translate,translates,translating,translated
transmit;transmit,transmits,transmitting,transmitted
transport;transport,transports,transporting,transported
trap;trap,traps,trapping,trapped
travel;travel,travels,travelling,travelled
treat;treat,treats,treating,treated
tremble;tremble,trembles,trembling,trembled
trust;trust,trusts,trusting,trusted
try;try,tries,trying,tried
tuck;tuck,tucks,tucking,tucked
turn;turn,turns,turning,turned
twist;twist,twists,twisting,twisted
undergo;undergo,undergoes,undergoing,underwent,undergone
underline;underline,underlines,underlining,underlined
undermine;undermine,undermines,undermining,undermined
understand;understand,understands,understanding,understood
undertake;undertake,undertakes,undertaking,undertook,undertaken
unite;unite,unites,uniting,united
update;update,updates,updating,updated
upset;upset,upsets,upsetting
urge;urge,urges,urging,urged
use;use,uses,using,used
value;value,values,valuing,valued
vanish;vanish,vanishes,vanishing,vanished
vary;vary,varies,varying,varied
view;view,views,viewing,viewed
visit;visit,visits,visiting,visited
voice;voice,voices,voicing,voiced
vote;vote,votes,voting,voted
wait;wait,waits,waiting,waited
wake;wake,wakes,waking,woke,woken
walk;walk,walks,walking,walked
wander;wander,wanders,wandering,wandered
want;want,wants,wanting,wanted
warm;warm,warms,warming,warmed
warn;warn,warns,warning,warned
wash;wash,washes,washing,washed
waste;waste,wastes,wasting,wasted
watch;watch,watches,watching,watched
wave;wave,waves,waving,waved
weaken;weaken,weakens,weakening,weakened
wear;wear,wears,wearing,wore,worn
weigh;weigh,weighs,weighing,weighed
welcome;welcome,welcomes,welcoming,welcomed
whisper;whisper,whispers,whispering,whispered
widen;widen,widens,widening,widened
win;win,wins,winning,won
wind;wind,winds,winding,wound
wipe;wipe,wipes,wiping,wiped
wish;wish,wishes,wishing,wished
withdraw;withdraw,withdraws,withdrawing,withdrew,withdrawn
witness;witness,witnesses,witnessing,witnessed
wonder;wonder,wonders,wondering,wondered
work;work,works,working,worked
worry;worry,worries,worrying,worried
wrap;wrap,wraps,wrapping,wrapped
write;write,writes,writing,wrote,written
yield;yield,yields,yielding,yielded
