a-t-elle;a-t-el
déduire;déduir
défaire;défair
défaite;défait
défauts;défaut
défavorable;défavor
défendre;défendr
défense;défens
défenseurs;défenseur
défensive;défens
défi;def
déficit;défic
déficits;déficit
défini;défin
définie;défin
définir;défin
définis;défin
définit;défin
définitif;définit
définition;définit
définitive;définit
définitivement;définit
défis;def
déflation;déflat
dégage;dégag
dégager;dégag
dégagé;dégag
dégradation;dégrad
dégustation;dégust
déguster;dégust
déjeuner;déjeun
délai;del
délais;del
délicate;délicat
délicieux;délici
délit;del
délocalisation;délocalis
délégation;déleg
délégué;délégu
délégués;délégu
démarche;démarch
démarches;démarch
démarrage;démarrag
démarre;démarr
démarrer;démarr
démarré;démarr
démission;démiss
démocratie;démocrat
démocratique;démocrat
démonstration;démonstr
démontre;démontr
démontrer;démontr
démontré;démontr
déménagement;déménag
dénicher;dénich
dénomination;dénomin
dénonce;dénonc
dénoncer;dénonc
département;départ
départements;départ
départs;départ
dépassant;dépass
dépasse;dep
dépassent;dep
dépasser;dépass
dépassé;dépass
dépendance;dépend
dépendant;dépend
dépendra;dépendr
dépense;dépens
dépenser;dépens
dépenses;dépens
dépit;dep
déplace;déplac
déplacement;déplac
déplacements;déplac
déplacer;déplac
déploie;déploi
déposer;dépos
déposé;dépos
déposée;dépos
dépression;dépress
dépréciation;dépréci
député;déput
députés;déput
dérapage;dérapag
dérive;dériv
dérivés;dériv
déroule;déroul
déroulement;déroul
déroulera;déroul
dérégulation;dérégul
dés;dé
désastre;désastr
désigne;désign
désigner;désign
désigné;désign
désir;des
désire;désir
désirent;des
désireux;désir
désirs;désir
désordre;désordr
désormais;désorm
détachement;détach
détaillé;détaill
détaillée;détaill
détails;détail
détecter;détect
détecteurs;détecteur
détection;détect
détenait;déten
détenir;déten
détente;détent
détenteurs;détenteur
détention;détent
détenue;détenu
détenues;détenu
déterminant;détermin
détermination;détermin
détermine;détermin
déterminer;détermin
déterminé;détermin
déterminée;détermin
déterminées;détermin
détriment;detr
détruire;détruir
détérioration;détérior
dévaluation;dévalu
développant;développ
développe;développ
développement;développ
développements;développ
développer;développ
développé;développ
développée;développ
développées;développ
développés;développ
dévoile;dévoil
dévoiler;dévoil
eaux;eau
ecole;ecol
economique;econom
editions;edit
effectif;effect
effectifs;effect
effective;effect
effectivement;effect
effectue;effectu
effectuer;effectu
effectué;effectu
effectuée;effectu
effectuées;effectu
effectués;effectu
effets;effet
efficace;efficac
efficacement;efficac
efficaces;efficac
efficacité;efficac
effondrement;effondr
efforce;efforc
efforts;effort
eglise;eglis
electrafina;electrafin
elles;elle
emballage;emballag
emballages;emballag
embauche;embauch
emblée;emblé
emile;emil
empire;empir
emplacement;emplac
emplacements;emplac
emploie;emploi
employeurs;employeur
employé;emploi
employées;emploi
employés;emploi
emporte;emport
emporté;emport
emprunte;emprunt
emprunter;emprunt
emprunts;emprunt
emprunté;emprunt
encadré;encadr
encontre;encontr
encore;encor
encourager;encourag
endettement;endet
endroits;endroit
enfance;enfanc
enfants;enfant
engage;engag
engagement;engag
engagements;engag
engager;engag
engagé;engag
engagée;engag
engagés;engag
engendre;engendr
engendré;engendr
engouement;engou
enlever;enlev
ennemi;ennem
enregistre;enregistr
enregistrement;enregistr
enregistrer;enregistr
enregistré;enregistr
enregistrée;enregistr
enregistrées;enregistr
enregistrés;enregistr
enseignants;enseign
enseigne;enseign
enseignement;enseign
enseignes;enseign
ensemble;ensembl
ensembles;ensembl
ensuite;ensuit
entame;entam
entamer;entam
entamé;entam
entamée;entam
entendre;entendr
enthousiasme;enthousiasm
enthousiaste;enthousiast
entier;enti
entité;entit
entités;entit
entourage;entourag
entoure;entour
entouré;entour
entre-temps;entre-temp
entreprendre;entreprendr
entrepreneurs;entrepreneur
entrepris;entrepr
entreprise;entrepris
entreprises;entrepris
entretenir;entreten
entretiens;entretien
entrée;entré
entrées;entré
enveloppe;envelopp
envergure;envergur
envers;enver
envie;envi
environnement;environ
environs;environ
envisage;envisag
envisageable;envisage
envisager;envisag
envisagé;envisag
envisagée;envisag
envoie;envoi
envoyer;envoi
envoyé;envoi
envoyés;envoi
erreurs;erreur
escompte;escompt
escompté;escompt
espace;espac
espaces;espac
espagne;espagn
espagnole;espagnol
espoirs;espoir
esprits;esprit
espérant;esper
espérer;esper
espérons;espéron
essaie;essai
essayer;essai
essayons;essayon
essayé;essai
essence;essenc
essentielle;essentiel
essentiellement;essentiel
essentielles;essentiel
essentiels;essentiel
est-elle;est-el
esthétique;esthet
estimait;estim
estimant;estim
estimation;estim
estimations;estim
estime;estim
estimer;estim
estimons;estimon
estimé;estim
estimée;estim
etats;etat
etats-unis;etats-un
etienne;etien
euphorie;euphor
europe;europ
européenne;européen
européennes;européen
européens;européen
evidemment;evident
exacte;exact
exactement;exact
examens;examen
examine;examin
examiner;examin
examiné;examin
excellence;excellent
excellente;excellent
excellentes;excellent
excellents;excellent
exception;except
exceptionnelle;exceptionnel
exceptionnellement;exceptionnel
exceptionnelles;exceptionnel
exceptionnels;exceptionnel
exceptions;except
excessif;excess
excessive;excess
exchange;exchang
exclue;exclu
exclure;exclur
exclusif;exclus
exclusion;exclus
exclusive;exclus
exclusivement;exclus
executive;execut
exemplaire;exemplair
exemplaires;exemplair
exemple;exempl
exemples;exempl
exerce;exerc
exercer;exerc
exercice;exercic
exercices;exercic
exercé;exerc
exercée;exerc
exige;exig
exigeant;exig
exigence;exigent
exigences;exigent
exiger;exig
exigé;exig
existait;exist
existant;exist
existante;exist
existantes;exist
existants;exist
existe;exist
existence;existent
exister;exist
exonération;exoner
exotique;exot
exotiques;exot
expansion;expans
experts;expert
explication;expliqu
explications;expliqu
explicitement;explicit
explique;expliqu
expliquer;expliqu
expliqué;expliqu
exploitation;exploit
exploite;exploit
exploiter;exploit
explorer;explor
explosion;explos
explosé;explos
exportateurs;export
exportation;export
exportations;export
exporte;export
expose;expos
exposition;exposit
expositions;exposit
exposé;expos
exposées;expos
exposés;expos
expression;express
exprime;exprim
exprimer;exprim
exprimé;exprim
expérience;expérient
expériences;expérient
extension;extens
externe;extern
externes;extern
extraits;extrait
extraordinaire;extraordinair
extraordinaires;extraordinair
extérieure;extérieur
extérieures;extérieur
extérieurs;extérieur
exécuter;exécut
exécutif;exécut
exécution;exécu
exécuté;exécut
fabricant;fabric
fabricants;fabric
fabrication;fabriqu
fabrique;fabriqu
fabriquer;fabriqu
fabriqué;fabriqu
fabriqués;fabriqu
fabuleux;fabul
face;fac
facettes;facet
facile;facil
facilement;facil
faciles;facil
facilite;facilit
faciliter;facilit
facilité;facil
facilités;facil
facteurs;facteur
facture;factur
factures;factur
faculté;facult
fafer;faf
faible;faibl
faibles;faibl
faiblesse;faibless
faiblesses;faibless
faille;faill
failli;faill
faillite;faillit
faillites;faillit
faire;fair
faisaient;fais
faisait;fais
faisant;fais
faisons;faison
faite;fait
faites;fait
faits;fait
fallait;fall
fameuse;fameux
fameuses;fameux
familiale;familial
familiales;familial
familiaux;familial
famille;famill
familles;famill
fantaisie;fantais
fantastique;fantast
farine;farin
fascinant;fascin
fasse;fass
fatigue;fatigu
faudra;faudr
faudrait;faudr
fausse;fauss
fausses;fauss
faute;faut
fautes;faut
faveurs;faveur
favorable;favor
favorablement;favor
favorables;favor
favori;favor
favorise;favoris
favoriser;favoris
favorites;favorit
feiner;fein
femme;femm
femmes;femm
fera;fer
ferait;fer
ferme;ferm
fermement;ferm
fermentation;ferment
fermer;ferm
fermes;ferm
fermeture;fermetur
fermeté;fermet
fermé;ferm
fermée;ferm
fermés;ferm
ferrari;ferrar
ferroviaire;ferroviair
feuille;feuill
feuilles;feuill
fiabilité;fiabl
fiable;fiabl
fiables;fiabl
fibre;fibr
fibres;fibr
fiche;fich
fiches;fich
fichier;fichi
fichiers;fichi
fidélité;fidel
fier;fi
fierté;fiert
figurant;figur
figure;figur
figurer;figur
figures;figur
file;fil
filets;filet
filiale;filial
filiales;filial
fille;fill
filles;fill
films;film
fils;fil
filtre;filtr
filtres;filtr
fina;fin
finale;final
finalement;final
finance;financ
financement;financ
financer;financ
finances;financ
financier;financi
financiers;financi
financé;financ
financée;financ
fine;fin
finement;fin
fines;fin
finesse;finess
fini;fin
finir;fin
finira;fin
finissent;fin
finit;fin
finition;finit
finlande;finland
fins;fin
firme;firm
firmes;firm
fiscale;fiscal
fiscalement;fiscal
fiscales;fiscal
fiscalité;fiscal
fiscaux;fiscal
fixation;fixat
fixe;fix
fixer;fix
fixes;fix
fixé;fix
fixée;fix
fixées;fix
fixés;fix
flacons;flacon
flamande;flamand
flamandes;flamand
flamands;flamand
flandre;flandr
fleurs;fleur
fleuve;fleuv
flexibilité;flexibil
flexible;flexibl
florence;florenc
floride;florid
florins;florin
flotte;flott
fluctuations;fluctuat
fluide;fluid
fléchi;flech
foie;foi
foire;foir
foires;foir
folie;fol
folle;foll
folles;foll
fonctionnaire;fonctionnair
fonctionnaires;fonctionnair
fonctionnant;fonction
fonctionne;fonction
fonctionnement;fonction
fonctionner;fonction
fonctions;fonction
fondamentale;fondamental
fondamentalement;fondamental
fondamentales;fondamental
fondamentaux;fondamental
fondateurs;fondateur
fondation;fondat
fonde;fond
fonder;fond
fondre;fondr
fonds;fond
fondé;fond
fondée;fond
fontaine;fontain
force;forc
forcer;forc
forces;forc
forcé;forc
forcément;forc
forfait;forf
forfaitaire;forfaitair
forges;forg
forgé;forg
formalités;formal
formation;format
formations;format
formats;format
forme;form
former;form
formes;form
formidable;formid
formulaire;formulair
formule;formul
formuler;formul
formules;formul
formé;form
formés;form
forte;fort
fortement;fort
fortes;fort
fortiori;fortior
fortis;fort
forts;fort
fortune;fortun
fortunes;fortun
fossé;foss
foule;foul
foulée;foul
fourchette;fourchet
fourneaux;fourneau
fourni;fourn
fournie;fourn
fournies;fourn
fournir;fourn
fournis;fourn
fournissent;fourn
fournisseurs;fournisseur
fournit;fourn
fourniture;fournitur
foyer;foi
foyers;foyer
fragile;fragil
fragiles;fragil
fragilité;fragil
france;franc
franchement;franch
franchi;franch
franchir;franch
franchise;franchis
franchisés;franchis
francis;franc
francophone;francophon
francophones;francophon
francs;franc
franki;frank
frans;fran
frappant;frapp
frappe;frapp
frapper;frapp
frappé;frapp
fraude;fraud
freinage;freinag
freiner;frein
freins;frein
frites;frit
froide;froid
fromage;fromag
fromages;fromag
fruits;fruit
fréquemment;fréquent
fréquence;fréquenc
fréquentation;fréquent
fréquente;fréquent
fréquents;fréquent
fuite;fuit
fumé;fum
fumée;fum
fusionner;fusion
fusions;fusion
future;futur
futures;futur
futurs;futur
fédérale;fédéral
fédération;féder
fédérations;féder
fédéraux;fédéral
féminine;féminin
féminins;féminin
féminité;fémin
fériés;féri
février;févri
g-banque;g-banqu
gage;gag
gagnant;gagn
gagnants;gagn
gagne;gagn
gagner;gagn
gagné;gagn
gains;gain
galerie;galer
galeries;galer
gamble;gambl
gamme;gamm
gammes;gamm
gants;gant
garage;garag
garanti;garant
garantie;garant
garanties;garant
garantir;garant
garantis;garant
garantit;garant
gardant;gard
garde;gard
garder;gard
gardé;gard
gare;gar
gassée;gass
gastronomie;gastronom
gastronomique;gastronom
gates;gat
gauche;gauch
gendarmerie;gendarmer
gendarmes;gendarm
genre;genr
genres;genr
gens;gen
george;georg
georges;georg
geschäftsidee;geschäftside
geste;gest
gestes;gest
gestionnaire;gestionnair
gestionnaires;gestionnair
gia;gi
gibier;gibi
gigantesque;gigantesqu
gilles;gill
gillette;gillet
glace;glac
glisse;gliss
glisser;gliss
globale;global
globalement;global
globe;glob
gloire;gloir
golfe;golf
goossens;goossen
gosses;goss
gourmande;gourmand
gourmandise;gourmandis
gouttes;goutt
gouvernement;gouvern
gouvernementale;gouvernemental
gouvernementales;gouvernemental
gouvernements;gouvern
grains;grain
graisse;graiss
grammes;gramm
grand-chose;grand-chos
grand-duché;grand-duch
grand-place;grand-plac
grande;grand
grande-bretagne;grande-bretagn
grandes;grand
grandi;grand
grandir;grand
grands;grand
graphique;graphiqu
graphiques;graphiqu
gratuite;gratuit
gratuitement;gratuit
gratuites;gratuit
gratuits;gratuit
grave;grav
graves;grav
gravité;gravit
gravures;gravur
grecque;grecqu
greenpeace;greenpeac
griffe;griff
grille;grill
grimpe;grimp
grimper;grimp
grimpé;grimp
grise;gris
grosse;gross
grosses;gross
grossesse;grossess
groupe;group
groupes;group
guerre;guerr
guerres;guerr
guide;guid
guider;guid
guides;guid
guillaume;guillaum
guise;guis
gustave;gustav
géant;gé
géants;gé
génie;gen
génocide;génocid
générale;général
généralement;général
générales;général
généralisée;généralis
génération;géner
générations;géner
généraux;général
générer;géner
généreuse;géner
généreux;géner
générique;géner
générosité;généros
généré;géner
génétique;génet
géographique;géograph
géographiques;géograph
gérant;ger
gérer;ger
géré;ger
gérée;ger
gérés;ger
habitacle;habitacl
habitant;habit
habitants;habit
habitation;habit
habitations;habit
habite;habit
habitude;habitud
habitudes;habitud
habituellement;habituel
habitué;habitu
habitués;habitu
haine;hain
handicapés;handicap
hans;han
hardware;hardwar
harmonie;harmon
hauspie;hausp
hausse;hauss
hausses;hauss
haussier;haussi
haute;haut
hautement;haut
hautes;haut
hauts;haut
havas;hav
hebdomadaire;hebdomadair
hectares;hectar
henri;henr
herbes;herb
hervé;herv
heure;heur
heures;heur
heureuse;heureux
heureusement;heureux
heurte;heurt
hexagone;hexagon
hier;hi
histoire;histoir
histoires;histoir
historique;histor
historiquement;histor
historiques;histor
hit-parade;hit-parad
hiver;hiv
hiérarchie;hiérarch
holdings;holding
hollandais;holland
hollandaise;hollandais
hollande;holland
home;hom
hommage;hommag
homme;homm
hommes;homm
homologue;homologu
homologues;homologu
honda;hond
hongrie;hongr
honoraires;honorair
honte;hont
hoogovens;hoogoven
horaire;horair
horaires;horair
hormis;horm
hormones;hormon
hors;hor
horta;hort
hotels;hotel
houlette;houlet
house;hous
huile;huil
huiles;huil
humaine;humain
humaines;humain
humains;humain
humanitaire;humanitair
humanité;human
hypothécaire;hypothécair
hypothécaires;hypothécair
hélas;hel
héritage;héritag
héritiers;hériti
hérité;hérit
hésite;hésit
hésiter;hésit
hésité;hésit
identifier;identifi
identique;ident
identiques;ident
identité;ident
idéale;idéal
idéalement;idéal
idée;idé
idées;idé
ignore;ignor
ignorer;ignor
illusion;illus
illustration;illustr
illustrations;illustr
illustre;illustr
illustré;illustr
ils;il
image;imag
images;imag
imaginaire;imaginair
imagination;imagin
imagine;imagin
imaginer;imagin
imaginé;imagin
immanquablement;immanqu
immense;immens
immeuble;immeubl
immeubles;immeubl
immobilier;immobili
immobiliers;immobili
immédiate;immédiat
immédiatement;immédiat
implantation;implant
implantations;implant
implanté;implant
implantée;implant
implications;impliqu
implique;impliqu
impliqué;impliqu
impliqués;impliqu
importance;import
important;import
importante;import
importantes;import
importants;import
importation;import
importations;import
importe;import
imposable;impos
imposables;impos
imposant;impos
impose;impos
imposer;impos
imposition;imposit
impossible;impossibl
imposé;impos
imposée;impos
imposées;impos
imposés;impos
impression;impress
impressionnant;impression
impressionnante;impression
impressions;impress
imprimante;imprim
imprimantes;imprim
imprimer;imprim
imprimerie;imprimer
imprimé;imprim
imprimés;imprim
improbable;improb
impulsion;impuls
impératif;imper
impératifs;imper
impérativement;imper
incapable;incap
incapables;incap
incarne;incarn
incendie;incend
incertitude;incertitud
incertitudes;incertitud
inchangé;inchang
incite;incit
inciter;incit
incité;incit
incluant;inclu
inconnue;inconnu
incontestable;incontest
incontestablement;incontest
incontournable;incontourn
inconvénients;inconvénient
incroyable;incroi
inculpé;inculp
indemnité;indemn
indemnités;indemn
indexation;index
indexé;index
indicateur;indiqu
indicateurs;indiqu
indicatif;indiqu
indication;indiqu
indications;indiqu
indice;indic
indices;indic
indiens;indien
indique;indiqu
indiquer;indiqu
indiqué;indiqu
indirecte;indirect
indirectement;indirect
indispensable;indispens
indispensables;indispens
individuelle;individuel
individuellement;individuel
individuelles;individuel
individuels;individuel
indonésie;indones
industrialisés;industrialis
industrie;industr
industrielle;industriel
industrielles;industriel
industriels;industriel
industries;industr
indéniable;indéni
indépendamment;indépend
indépendance;indépend
indépendant;indépend
indépendante;indépend
indépendantes;indépend
indépendants;indépend
indéterminée;indétermin
inflation;inflat
inflationnistes;inflation
influence;influenc
influencer;influenc
influencé;influenc
information;inform
informations;inform
informatique;informat
informatiques;informat
informer;inform
informé;inform
informés;inform
infrarouge;infraroug
infrastructure;infrastructur
infrastructures;infrastructur
inférieure;inférieur
inférieures;inférieur
inférieurs;inférieur
ingrédients;ingrédient
ingénieurs;ingénieur
initiale;initial
initialement;initial
initiative;initi
initiatives;initi
initiés;initi
injection;inject
innogenetics;innogenetic
innombrables;innombr
innovation;innov
innovations;innov
inquiétant;inquiet
inquiéter;inquiet
inquiétudes;inquiétud
inscrire;inscrir
inscrits;inscrit
insiste;insist
inspiration;inspir
inspire;inspir
inspiré;inspir
inspirée;inspir
installation;install
installations;install
installe;install
installer;install
installé;install
installée;install
installées;install
installés;install
instance;instanc
instances;instanc
instauration;instaur
institute;institut
institution;institu
institutionnels;institutionnel
institutions;institu
instituts;institut
instruction;instruct
instructions;instruct
instruments;instrument
insuffisant;insuffis
insuffisante;insuffis
intellectuelle;intellectuel
intellectuels;intellectuel
intelligence;intelligent
intelligente;intelligent
intelligents;intelligent
intense;intens
intention;intent
intentions;intent
interactif;interact
interactive;interact
intercommunales;intercommunal
interdiction;interdict
interdire;interdir
interdit;interd
interdite;interdit
interface;interfac
interlocuteurs;interlocuteur
intermédiaire;intermédiair
intermédiaires;intermédiair
internationale;international
internationales;international
internationaux;international
interne;intern
internes;intern
interprétation;interpret
interrogations;interrog
interroge;interrog
interroger;interrog
interrogé;interrog
interrogées;interrog
intervenants;interven
intervenir;interven
intervention;intervent
interventions;intervent
intervenue;intervenu
intime;intim
intitulé;intitul
introduction;introduct
introductions;introduct
introduire;introduir
introduite;introduit
introduites;introduit
intégrale;intégral
intégralement;intégral
intégrante;integr
intégration;integr
intégrer;integr
intégré;integr
intégrée;integr
intégrées;integr
intégrés;integr
intéressant;intéress
intéressante;intéress
intéressantes;intéress
intéressants;intéress
intéresse;intéress
intéresser;intéress
intéressé;intéress
intéressée;intéress
intéressées;intéress
intéressés;intéress
intérieure;intérieur
intérieurs;intérieur
intérimaire;intérimair
inutile;inutil
inutiles;inutil
inventaire;inventair
invention;invent
inventé;invent
inverse;invers
inversement;invers
investi;invest
investie;invest
investies;invest
investir;invest
investis;invest
investissement;invest
investissements;invest
investissent;invest
investisseurs;investisseur
investit;invest
invite;invit
invité;invit
invités;invit
inédit;ined
inévitable;inévit
inévitablement;inévit
irlandais;irland
irlande;irland
isabelle;isabel
islamique;islam
islamistes;islam
isolé;isol
isolés;isol
issue;issu
issues;issu
italie;ital
italienne;italien
italiennes;italien
italiens;italien
j'aime;j'aim
j'avais;j'av
j'étais;j'et
jacobs;jacob
jacques;jacqu
jadis;jad
jamais;jam
jambes;jamb
james;jam
janssens;janssen
janvier;janvi
japonais;japon
japonaise;japonais
japonaises;japonais
jardins;jardin
jaune;jaun
jaunes;jaun
java;jav
jean-claude;jean-claud
jean-jacques;jean-jacqu
jean-louis;jean-lou
jean-marie;jean-mar
jean-pierre;jean-pierr
jeanne;jeann
jeans;jean
jeter;jet
jette;jet
jeté;jet
jeudi;jeud
jeune;jeun
jeunes;jeun
jeunesse;jeuness
joie;joi
joindre;joindr
joint-venture;joint-ventur
joli;jol
jolie;jol
jolies;jol
joliment;jol
jones;jon
josé;jos
jouant;jou
joue;jou
jouer;jou
jouera;jou
jouets;jouet
joueurs;joueur
jouissent;jou
jouit;jou
journaliste;journal
journalistes;journal
journaux;journal
journée;journ
journées;journ
jours;jour
joué;jou
judiciaire;judiciair
judiciaires;judiciair
judicieux;judici
juge;jug
jugement;jug
juger;jug
juges;jug
jugé;jug
jugée;jug
jugées;jug
jugés;jug
juifs;juif
jules;jul
julie;jul
jupe;jup
juridique;jurid
juridiques;jurid
jurisprudence;jurisprudent
juriste;jurist
juristes;jurist
jusqu'alors;jusqu'alor
jusqu'aux;jusqu'al
jusqu'ici;jusqu'ic
jusque;jusqu
juste;just
justement;just
justesse;justess
justice;justic
justifie;justif
justifier;justifi
justifié;justifi
justifiée;justifi
kinshasa;kinshas
l'activité;l'activ
l'administration;l'administr
l'affaire;l'affair
l'agence;l'agenc
l'allemagne;l'allemagn
l'analyse;l'analys
l'année;l'ann
l'arrivée;l'arriv
l'autre;l'autr
l'avantage;l'avantag
l'avenir;l'aven
l'ensemble;l'ensembl
l'entreprise;l'entrepris
l'europe;l'europ
l'exemple;l'exempl
l'exercice;l'exercic
l'exposition;l'exposit
l'expérience;l'expérient
l'histoire;l'histoir
l'homme;l'homm
l'idée;l'id
l'image;l'imag
l'indice;l'indic
l'industrie;l'industr
l'inflation;l'inflat
l'investissement;l'invest
l'objectif;l'object
l'obligation;l'oblig
l'occasion;l'occas
l'offre;l'offr
l'opération;l'oper
l'ouvrage;l'ouvrag
l'une;l'un
l'usine;l'usin
l'utilisateur;l'utilis
l'utilisation;l'utilis
l'économie;l'économ
l'émission;l'émiss
l'étude;l'étud
l'évolution;l'évolu
laboratoire;laboratoir
laboratoires;laboratoir
lacune;lacun
lacunes;lacun
laine;lain
laissant;laiss
laisse;laiss
laisser;laiss
laissez;laiss
laissé;laiss
lampes;lamp
lance;lanc
lancement;lanc
lancer;lanc
lancé;lanc
lancée;lanc
lancées;lanc
lancés;lanc
langage;langag
langoustines;langoustin
langue;langu
langues;langu
laps;lap
laquelle;laquel
large;larg
largement;larg
larges;larg
larmes;larm
laser;las
latine;latin
laurence;laurenc
laurette;lauret
laver;lav
leader;lead
leaders;leader
lecteurs;lecteur
lecture;lectur
lee;le
lente;lent
lentement;lent
les;le
lesquelles;lesquel
lesquels;lesquel
lettre;lettr
lettres;lettr
leurs;leur
lever;lev
levier;levi
levé;lev
levée;lev
leys;ley
liaisons;liaison
libellées;libel
libellés;libel
liberté;libert
librairie;librair
libre;libr
librement;libr
libres;libr
libérale;libéral
libérales;libéral
libéralisation;libéralis
libération;liber
libéraux;libéral
libérer;liber
libéré;liber
licence;licenc
licences;licenc
licenciement;licenci
licenciements;licenci
licencié;licenci
lie;li
liens;lien
life;lif
ligne;lign
lignes;lign
ligue;ligu
lille;lill
limitant;limit
limitation;limit
limite;limit
limiter;limit
limites;limit
limité;limit
limitée;limit
limitées;limit
limités;limit
line;lin
linge;ling
lingerie;linger
linguistique;linguist
linguistiques;linguist
linéaire;linéair
liquidation;liquid
liquide;liquid
liquides;liquid
liquidité;liquid
liquidités;liquid
lire;lir
lires;lir
lisbonne;lisbon
lisse;liss
liste;list
listes;list
litige;litig
litiges;litig
litre;litr
litres;litr
littéraire;littérair
littéralement;littéral
littérature;littératur
livraisons;livraison
livre;livr
livrer;livr
livres;livr
livré;livr
livrés;livr
lié;li
liée;li
liées;li
liégeoise;liégeois
liés;li
locale;local
locales;local
localisation;localis
locataire;locatair
locataires;locatair
location;locat
locaux;local
logement;log
logements;log
loger;log
logiciels;logiciel
logique;logiqu
logiquement;logiqu
logistique;logist
loisir;lois
loisirs;loisir
londres;londr
longs;long
longtemps;longtemp
longue;longu
longuement;longu
longues;longu
longévité;longev
lors;lor
lorsqu'elle;lorsqu'el
lorsqu'elles;lorsqu'el
lorsqu'ils;lorsqu'il
lorsqu'une;lorsqu'un
lorsque;lorsqu
lots;lot
loue;lou
louer;lou
louis;lou
louise;louis
lourde;lourd
lourdement;lourd
lourdes;lourd
lourds;lourd
louvain-la-neuve;louvain-la-neuv
louvre;louvr
loué;lou
loyer;loi
loyers;loyer
ludique;ludiqu
lufthansa;lufthans
lumineuse;lumin
lumineux;lumin
lundi;lund
lune;lun
lunettes;lunet
lutte;lutt
lutter;lutt
luxe;lux
luxembourgeoise;luxembourgeois
luxembourgeoises;luxembourgeois
lyonnais;lyon
lyonnaise;lyonnais
légale;légal
légalement;légal
légales;légal
légendaire;légendair
légende;légend
léger;leg
légers;léger
législateur;législ
législation;législ
législatives;législ
législature;législatur
légitime;légitim
légitimité;légitim
légumes;légum
machine;machin
machines;machin
madame;madam
made;mad
mafia;mafi
magasins;magasin
magazine;magazin
magazines;magazin
magie;mag
magique;magiqu
magistrats;magistrat
magnifique;magnif
magnifiques;magnif
magnétique;magnet
magritte;magritt
maigre;maigr
maigres;maigr
main-oeuvre;main-oeuvr
mainframes;mainfram
mains;main
maintenance;mainten
maintenant;mainten
maintenir;mainten
maintenue;maintenu
maisons;maison
majeure;majeur
majeures;majeur
majeurs;majeur
majoration;major
majoritaire;majoritair
majoritairement;majoritair
majorité;major
majoré;major
malade;malad
malades;malad
maladie;malad
maladies;malad
malaise;malais
malaisie;malais
malgré;malgr
malheureusement;malheur
malheureux;malheur
malines;malin
management;manag
manager;manag
managers;manager
manche;manch
manches;manch
mandats;mandat
manger;mang
manifestation;manifest
manifestations;manifest
manifeste;manifest
manifestement;manifest
manifester;manifest
manifesté;manifest
manipulation;manipul
manipuler;manipul
manne;mann
manoeuvre;manoeuvr
manoeuvres;manoeuvr
manquait;manqu
manque;manqu
manquer;manqu
manquera;manqu
manqué;manqu
maquillage;maquillag
marasme;marasm
marbre;marbr
marchandises;marchandis
marchands;marchand
marche;march
marcher;march
marché;march
marchés;march
mardi;mard
marge;marg
marges;marg
mari;mar
maria;mari
mariage;mariag
mariages;mariag
marianne;mariann
marie;mar
marier;mari
marine;marin
maritime;maritim
marié;mari
mariée;mari
mariés;mari
marks;mark
marque;marqu
marquer;marqu
marques;marqu
marqué;marqu
marquée;marqu
mars;mar
martine;martin
masculine;masculin
masque;masqu
masques;masqu
masse;mass
massifs;massif
massive;massiv
massivement;massiv
master;mast
maturité;matur
matériaux;matérial
matériels;matériel
maurice;mauric
mauvais;mauv
mauvaise;mauvais
mauvaises;mauvais
maxi;max
maximale;maximal
mazda;mazd
mcdonals;mcdonal
media;medi
meilleure;meilleur
meilleures;meilleur
meilleurs;meilleur
membre;membr
membres;membr
menace;menac
menaces;menac
menacé;menac
mener;men
mensuelle;mensuel
mentalité;mental
mentalités;mental
mentionner;mention
mené;men
menée;men
menées;men
mercedes;merced
merci;merc
mercredi;mercred
merveille;merveil
merveilleux;merveil
mes;me
message;messag
messages;messag
mesure;mesur
mesurer;mesur
mesures;mesur
mets;met
mettant;met
mette;met
mettra;mettr
mettre;mettr
meuble;meubl
meubles;meubl
meurtre;meurtr
meuse;meus
mexicaine;mexicain
mexique;mexiqu
midi;mid
militaire;militair
militaires;militair
militants;milit
mille;mill
milliards;milliard
millier;milli
milliers;milli
millions;million
millénaire;millénair
millésime;millésim
mince;minc
mine;min
mines;min
mineurs;mineur
minimale;minimal
minime;minim
ministre;ministr
ministres;ministr
minoritaire;minoritair
minoritaires;minoritair
minorité;minor
minute;minut
minutes;minut
miracle;miracl
miroirs;miroir
mise;mis
mises;mis
missions;mission
mixte;mixt
mixtes;mixt
mobile;mobil
mobiles;mobil
mobilier;mobili
mobiliers;mobili
mobiliser;mobilis
mobilité;mobil
modalités;modal
mode;mod
modems;modem
moderne;modern
modernes;modern
modernisation;modernis
modernité;modern
modes;mod
modeste;modest
modestes;modest
modification;modif
modifications;modif
modifie;modif
modifier;modifi
modifié;modifi
modifiée;modifi
module;modul
modules;modul
modération;moder
modéré;moder
modérée;moder
moeurs;moeur
moindre;moindr
moindres;moindr
moins;moin
moitié;moiti
molécules;molécul
moments;moment
monceau-zolder;monceau-zold
monde;mond
mondes;mond
mondiale;mondial
mondiales;mondial
mondialisation;mondialis
mondiaux;mondial
monnaie;monnai
monnaies;monnai
monopole;monopol
mons;mon
monstre;monstr
montage;montag
montagne;montagn
montagnes;montagn
montant;mont
montants;mont
monte;mont
monter;mont
montre;montr
montrer;montr
montres;montr
montré;montr
monté;mont
montée;mont
